source_type,source_path,filename,matched_roster_name,match_score,classification,notes
biography,content/Bios/Al_Raglin.docx,Al_Raglin.docx,Al Raglin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Arny_Karraker.docx,Arny_Karraker.docx,Arny Karraker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Art_Wollenweber.docx,Art_Wollenweber.docx,Art Wollenweber,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bert_Borgmann.docx,Bert_Borgmann.docx,Bert Borgman,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Bill_Helman.docx,Bill_Helman.docx,Bill Helman,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bill_Lind.docx,Bill_Lind.docx,Bill Lind,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bill_Vincent.docx,Bill_Vincent.docx,Bill Vincent,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Ferguson.docx,Bob_Ferguson.docx,Bob Ferguson,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Jones.docx,Bob_Jones.docx,Bob Jones,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Meisner.docx,Bob_Meisner.docx,Bob Meisner,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Mullerberg.docx,Bob_Mullerberg.docx,Bob Mullerberg,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Ottewill.docx,Bob_Ottewill.docx,Bob Ottewill,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bob_Westhoff.docx,Bob_Westhoff.docx,Bob Westhoff,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Boody.docx,Boody.docx,Manual Boody,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Borgmann.docx,Borgmann.docx,Bert Borgman,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Bruce_Bradshaw.docx,Bruce_Bradshaw.docx,Bruce Bradshaw,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bruce_Grigsby.docx,Bruce_Grigsby.docx,Bruce Grigsby,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bud_Best.docx,Bud_Best.docx,Bud Best,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Bud_Schoepflin.docx,Bud_Schoepflin.docx,Bud Schoepflin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Burns.docx,Burns.docx,Mitchell Burns,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Butler.docx,Butler.docx,Pete Butler,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Carl_Zele_Jr.docx,Carl_Zele_Jr.docx,"Carl Zele, Jr",0.8889,likely_match,Filename variant maps strongly to the control roster.
biography,content/Bios/Charlie_Chainhalt.docx,Charlie_Chainhalt.docx,Charlie Chainhalt,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Chris_Dittman.docx,Chris_Dittman.docx,Chris Dittman,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Chuck_Denney.docx,Chuck_Denney.docx,Chuck Denney,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Cliff_Hendrick.docx,Cliff_Hendrick.docx,Cliff Hendrick,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dan_Cholas.docx,Dan_Cholas.docx,Dan Cholas,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dan_Ringsby.docx,Dan_Ringsby.docx,Dan Ringsby,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dan_Weikle.docx,Dan_Weikle.docx,Dan Weikle,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dave_Chick_Baker.docx,Dave_Chick_Baker.docx,Dave Baker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dave_Schmidt.docx,Dave_Schmidt.docx,Dave Schmidt,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/David_Letofsky.docx,David_Letofsky.docx,David Letofsky,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Del_Petersen.docx,Del_Petersen.docx,Del Petersen,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dennis_Smith.docx,Dennis_Smith.docx,Dennis Smith,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dick_Cartin.docx,Dick_Cartin.docx,Dick Cartin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dick_Hotton.docx,Dick_Hotton.docx,Dick Hotton,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Dick_Reininger.docx,Dick_Reininger.docx,Dick Reininger,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Dick_Yates.docx,Dick_Yates.docx,Dick Yates,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Don_Carlsen.docx,Don_Carlsen.docx,Don Carlsen,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Don_Cimaglia.docx,Don_Cimaglia.docx,Don Cimaglia,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Don_Hegi.docx,Don_Hegi.docx,Don Hegi,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Don_Shiverdecker.docx,Don_Shiverdecker.docx,Don Shiverdecker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Don_Stengel.docx,Don_Stengel.docx,Don Stengel,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Doug_Graham.docx,Doug_Graham.docx,Doug Graham,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ed_OConnor.docx,Ed_OConnor.docx,Ed OConnor,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ed_Tracy.docx,Ed_Tracy.docx,Ed Tracy,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ed_Underwood.docx,Ed_Underwood.docx,Ed Underwood,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Edmund_DHaillecourt.docx,Edmund_DHaillecourt.docx,Edmund DHaillecourt,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Edward_Stevens.docx,Edward_Stevens.docx,Edward Stevens,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ernest_Cavalieri.docx,Ernest_Cavalieri.docx,Ernest Cavalieri,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ernie_Kozacek.docx,Ernie_Kozacek.docx,Ernie Kozacek,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ernie_Ortiz.docx,Ernie_Ortiz.docx,Ernie Ortiz,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ervin_Douglas.docx,Ervin_Douglas.docx,Ervin Douglas,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Francis_Ford.docx,Francis_Ford.docx,Francis Ford,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Frank_DeAngelis.docx,Frank_DeAngelis.docx,Frank DeAngelis,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Frank_Messenger.docx,Frank_Messenger.docx,Frank Messenger,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Frank_Prentup.docx,Frank_Prentup.docx,Frank Prentup,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Frank_Zele.docx,Frank_Zele.docx,Frank Zele,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Fred_Zuercher.docx,Fred_Zuercher.docx,Fred Zuercher,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Fritz_Johnstone.docx,Fritz_Johnstone.docx,Fritz Johnstone,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Gary_Baker.docx,Gary_Baker.docx,Gary Baker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Gene_Bunnelle.docx,Gene_Bunnelle.docx,Gene Bunnelle,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Gene_Rozelle.docx,Gene_Rozelle.docx,Gene Rozzelle,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/George_Demetriou.docx,George_Demetriou.docx,George Demetriou,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/George_Theodore.docx,George_Theodore.docx,George Theodore,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Gordon_Cooper.docx,Gordon_Cooper.docx,Gordon Cooper,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/H_R_Phillips.docx,H_R_Phillips.docx,H_R Phillips,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Harry_Wise.docx,Harry_Wise.docx,Harry Wise,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Howard_Dunbar.docx,Howard_Dunbar.docx,Howard Dunbar,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Howard_Wentz.docx,Howard_Wentz.docx,Howard Wentz,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Irv_Brown.docx,Irv_Brown.docx,Irv Brown,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Irv_Moss.docx,Irv_Moss.docx,Irv Moss,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jack_Smith.docx,Jack_Smith.docx,Jack Smith,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/James_Roorda.docx,James_Roorda.docx,James Roorda,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jim_Darden.docx,Jim_Darden.docx,Jim Darden,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jim_Dorsey.docx,Jim_Dorsey.docx,Jim Dorsey,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jim_Jenkins.docx,Jim_Jenkins.docx,Jim Jenkins,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jim_Paronto.docx,Jim_Paronto.docx,Jim Paronto,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Jim_Schaefer.docx,Jim_Schaefer.docx,Jim Schaefer,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joe_Bellich.docx,Joe_Bellich.docx,Joe Bellich,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joe_Bonacquista.docx,Joe_Bonacquista.docx,Joe Bonacquista,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joe_Brooks.docx,Joe_Brooks.docx,Joe Brooks,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joe_Maciel.docx,Joe_Maciel.docx,Joe Maciel,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joe_Rossi.docx,Joe_Rossi.docx,Joe Rossi,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joey_Borjon.docx,Joey_Borjon.docx,Joey Borjon,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/John_DeSiato.docx,John_DeSiato.docx,John DeSiato,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/John_Walsh.docx,John_Walsh.docx,John Walsh,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/John_Wenglass.docx,John_Wenglass.docx,John Wenglass,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Joseph_Massaro.docx,Joseph_Massaro.docx,Joseph Massaro,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Julius_Carabello.docx,Julius_Carabello.docx,Julius Carabello,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Keith_Bailey.docx,Keith_Bailey.docx,Keith Bailey,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ken_Furman.docx,Ken_Furman.docx,Ken Furman,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ken_Zetner.docx,Ken_Zetner.docx,Ken Zetner,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Lee_Rosa.docx,Lee_Rosa.docx,Lee Rosa,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Leo_Bahl.docx,Leo_Bahl.docx,Leo Bahl,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Leonard_Varriano.docx,Leonard_Varriano.docx,Leonard Varriano,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Leroy_Garzonio.docx,Leroy_Garzonio.docx,Leroy Garzonio,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Lou_Nedbalski.docx,Lou_Nedbalski.docx,Lou Nedbalski,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Lou_Nolin.docx,Lou_Nolin.docx,Lou Nolin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Lou_Spector.docx,Lou_Spector.docx,Lou Spector,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Manual_Boody.docx,Manual_Boody.docx,Manual Boody,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Mark_Denzin.docx,Mark_Denzin.docx,Mark Denzin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mark_Junge.docx,Mark_Junge.docx,Mark Junge,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Melvin_Martin.docx,Melvin_Martin.docx,Melvin Martin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mert_Letofsky.docx,Mert_Letofsky.docx,Mert Letofsky,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mike_Brady.docx,Mike_Brady.docx,Mike Brady,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mike_Doohan.docx,Mike_Doohan.docx,Mike Doohan,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mike_Kronkright.docx,Mike_Kronkright.docx,Mike Kronkright,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Mitchell_Burns.docx,Mitchell_Burns.docx,Mitchell Burns,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Myran_Dunker.docx,Myran_Dunker.docx,Myran Dunker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Neil_Devlin.docx,Neil_Devlin.docx,Neil Devlin,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Nick_Vitale.docx,Nick_Vitale.docx,Nick Vitale,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Pat_Haggerty.docx,Pat_Haggerty.docx,Pat Haggerty,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Paul_Babkiewich.docx,Paul_Babkiewich.docx,Paul Babkiewich,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Pete_Butler.docx,Pete_Butler.docx,Pete Butler,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Pete_DAmato.docx,Pete_DAmato.docx,Pete DAmato,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Randy_Holmen.docx,Randy_Holmen.docx,Randy Holmen,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ray_Belfiore.docx,Ray_Belfiore.docx,Ray Belfiore,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Raymond_Powe.docx,Raymond_Powe.docx,Raymond Powe,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Rich_Czernicki.docx,Rich_Czernicki.docx,Rich Czernicki,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Richard_Chandler.docx,Richard_Chandler.docx,Richard Chandler,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Richard_Dick_Reininger.docx,Richard_Dick_Reininger.docx,Dick Reininger,1.0,duplicate_candidate,Multiple original biography files map to this roster record; compare versions before canonicalization.
biography,content/Bios/Richard_Fanning.docx,Richard_Fanning.docx,Richard Fanning,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Richard_Hawkins.docx,Richard_Hawkins.docx,Richard Hawkins,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Richard_Mauro.docx,Richard_Mauro.docx,Richard Mauro,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Robert_Blaser.docx,Robert_Blaser.docx,Robert Blaser,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Robert_Campbell.docx,Robert_Campbell.docx,Robert Campbell,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Robert_Schnabel.docx,Robert_Schnabel.docx,Robert Schnabel,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Roger_Kinney.docx,Roger_Kinney.docx,Roger Kinney,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ron_Piotraschke.docx,Ron_Piotraschke.docx,Ron Piotraschke,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ron_Sisson.docx,Ron_Sisson.docx,Ron Sisson,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ross_Barlow.docx,Ross_Barlow.docx,Ross Barlow,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Ross_MacAskill.docx,Ross_MacAskill.docx,Ross MacAskill,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Sal_Salazar.docx,Sal_Salazar.docx,Sal Salazar,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Sam_Corentino.docx,Sam_Corentino.docx,Sam Corentino,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Sid_Peretti.docx,Sid_Peretti.docx,Sid Peretti,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Steve_Heuer.docx,Steve_Heuer.docx,Steve Heuer,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Steve_Usecheck.docx,Steve_Usecheck.docx,Steve Usecheck,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Stormy_Stucker.docx,Stormy_Stucker.docx,Stormy Stucker,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Terry_Angell.docx,Terry_Angell.docx,Terry Angell,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Terry_Garvey.docx,Terry_Garvey.docx,Terry Garvey,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Terry_Reed.docx,Terry_Reed.docx,Terry Reed,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Terry_Schiessler.docx,Terry_Schiessler.docx,Terry Schiessler,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Thomas_Severtson.docx,Thomas_Severtson.docx,Thomas Severtson,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Tim_Kardatzke.docx,Tim_Kardatzke.docx,Tim Kardatzke,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Tom_Freed.docx,Tom_Freed.docx,Tom Freed,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Tom_Robinson.docx,Tom_Robinson.docx,Tom Robinson,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Tom_Smith.docx,Tom_Smith.docx,Tom Smith,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Vic_Damon.docx,Vic_Damon.docx,Vic Damon,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Virgil_Jester.docx,Virgil_Jester.docx,Virgil Jester,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Walt_Clay.docx,Walt_Clay.docx,Walt Clay,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Warren_Kettner.docx,Warren_Kettner.docx,Warren Kettner,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Wiley_Chance.docx,Wiley_Chance.docx,Wiley Chance,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/William_Bill_Fanning.docx,William_Bill_Fanning.docx,Bill Fanning,1.0,exact_match,Filename maps directly to the control roster.
biography,content/Bios/Willie_White.docx,Willie_White.docx,Willie White,1.0,exact_match,Filename maps directly to the control roster.
photo,content/Photos/Al_Raglin.jpg,Al_Raglin.jpg,Al Raglin,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Arny_Karraker.jpg,Arny_Karraker.jpg,Arny Karraker,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Art_Wollenweber.jpg,Art_Wollenweber.jpg,Art Wollenweber,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bert_Borgmann.jpg,Bert_Borgmann.jpg,Bert Borgman,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bill_Fanning.jpg,Bill_Fanning.jpg,Bill Fanning,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bill_Helman.jpg,Bill_Helman.jpg,Bill Helman,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bill_Lind_missing.webp,Bill_Lind_missing.webp,Bill Lind,1.0,duplicate_candidate,Placeholder or generic silhouette; not a verified portrait.
photo,content/Photos/Bill_Vincent.jpg,Bill_Vincent.jpg,Bill Vincent,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bob_Ferguson_Missing.webp,Bob_Ferguson_Missing.webp,Bob Ferguson,1.0,duplicate_candidate,Placeholder or generic silhouette; not a verified portrait.
photo,content/Photos/Bob_Jones.jpg,Bob_Jones.jpg,Bob Jones,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
photo,content/Photos/Bob_Meisner.jpg,Bob_Meisner.jpg,Bob Meisner,1.0,exact_match,Person-specific source filename and unique image bytes support this match.
